1964-01-01,52815
1964-02-01,42672
1964-03-01,38755
1964-04-01,45721
1964-05-01,42946
1964-06-01,35036
1964-07-01,29282
1964-08-01,36212
1964-09-01,50922
1964-10-01,54301
1964-11-01,50764
1964-12-01,47312
1965-01-01,22541
1965-02-01,29475
1965-03-01,38031
1965-04-01,35266
1965-05-01,30776
1965-06-01,32030
1965-07-01,32028
1965-08-01,41759
1965-09-01,35595
1965-10-01,41474
1965-11-01,60838
1965-12-01,48357
1966-01-01,35113
1966-02-01,32006
1966-03-01,42047
1966-04-01,30523
1966-05-01,39037
1966-06-01,39086
1966-07-01,32560
1966-08-01,41573
1966-09-01,32528
1966-10-01,51211
1966-11-01,37614
1966-12-01,29254
1967-01-01,50375
1967-02-01,53088
1967-03-01,35718
1967-04-01,45014
1967-05-01,45020
1967-06-01,45039
1967-07-01,36063
1967-08-01,41643
1967-09-01,47239
1967-10-01,54028
1967-11-01,48314
1967-12-01,30651
1968-01-01,36033
1968-02-01,42092
1968-03-01,41054
1968-04-01,41021
1968-05-01,46047
1968-06-01,47053
1968-07-01,39065
1968-08-01,51723
1968-09-01,51048
1968-10-01,36922
1968-11-01,29858
1968-12-01,42331
1969-01-01,42016
1969-02-01,39057
1969-03-01,45210
1969-04-01,42276
1969-05-01,49068
1969-06-01,46077
1969-07-01,35023
1969-08-01,45821
1969-09-01,52022
1969-10-01,60872
1969-11-01,85803
1969-12-01,23916
1970-01-01,20639
1970-02-01,28099
1970-03-01,33070
1970-04-01,37040
1970-05-01,39207
1970-06-01,39806
1970-07-01,42170
1970-08-01,37038
1970-09-01,52021
1970-10-01,56424
1970-11-01,39842
1970-12-01,53076
1971-01-01,53934
1971-02-01,30162
1971-03-01,42806
1971-04-01,46706
1971-05-01,50010
1971-06-01,48074
1971-07-01,46033
1971-08-01,41659
1971-09-01,59501
